country,city,date,rain_sum
GB,London,2022-02-19,5.2
GB,London,2022-02-20,3.0
GB,London,2022-02-21,0.3
GB,London,2022-02-22,0.5
GB,London,2022-02-23,0.1
GB,London,2022-02-24,3.6
GB,London,2022-02-25,0.0
GB,London,2022-02-26,0.0
GB,London,2022-02-27,0.0
GB,London,2022-02-28,3.5
GB,London,2022-03-01,10.2
GB,London,2022-03-02,8.3
GB,London,2022-03-03,0.3
GB,London,2022-03-04,2.1
GB,London,2022-03-05,1.5
GB,London,2022-03-06,0.2
GB,London,2022-03-07,0.0
GB,London,2022-03-08,0.0
GB,London,2022-03-09,0.1
GB,London,2022-03-10,0.0
GB,London,2022-03-11,3.3
GB,London,2022-03-12,1.5
GB,London,2022-03-13,1.7
GB,London,2022-03-14,1.2
GB,London,2022-03-15,0.0
GB,London,2022-03-16,10.7
GB,London,2022-03-17,0.0
GB,London,2022-03-18,0.0
GB,London,2022-03-19,0.0
GB,London,2022-03-20,0.1
GB,London,2022-03-21,0.0
GB,London,2022-03-22,0.1
GB,London,2022-03-23,0.0
GB,London,2022-03-24,0.0
GB,London,2022-03-25,0.0
GB,London,2022-03-26,0.0
GB,London,2022-03-27,0.0
GB,London,2022-03-28,0.2
GB,London,2022-03-29,0.2
GB,London,2022-03-30,3.4
GB,London,2022-03-31,0.6
GB,London,2022-04-01,2.0
GB,London,2022-04-02,0.7
GB,London,2022-04-03,0.1
GB,London,2022-04-04,3.4
GB,London,2022-04-05,0.1
GB,London,2022-04-06,2.4
GB,London,2022-04-07,4.5
GB,London,2022-04-08,1.5
GB,London,2022-04-09,0.9
GB,London,2022-04-10,0.0
GB,London,2022-04-11,0.0
GB,London,2022-04-12,5.0
GB,London,2022-04-13,0.4
GB,London,2022-04-14,0.0
GB,London,2022-04-15,0.0
GB,London,2022-04-16,0.0
GB,London,2022-04-17,0.0
GB,London,2022-04-18,0.0
GB,London,2022-04-19,0.1
GB,London,2022-04-20,0.0
GB,London,2022-04-21,0.0
GB,London,2022-04-22,0.1
GB,London,2022-04-23,0.0
GB,London,2022-04-24,0.0
GB,London,2022-04-25,0.3
GB,London,2022-04-26,0.0
GB,London,2022-04-27,0.1
GB,London,2022-04-28,0.1
GB,London,2022-04-29,0.0
GB,London,2022-04-30,0.0
GB,London,2022-05-01,1.6
GB,London,2022-05-02,0.4
GB,London,2022-05-03,0.0
GB,London,2022-05-04,4.5
GB,London,2022-05-05,0.0
